index,cumulative_frequency
0,0
1,14824
2,28224
3,39348
4,47855
5,53994
6,58171
7,60926
8,62682
9,63786
10,64463
11,64878
12,65126
13,65276
14,65365
15,65419
16,65450
17,65469
18,65480
19,65487
20,65491
21,65493
22,65494
23,65495
24,65496
25,65497
26,65498
27,65499
28,65500
29,65501
30,65502
31,65503
32,65504
33,65505
34,65506
35,65507
36,65508
37,65509
38,65510
39,65511
40,65512
41,65513
42,65514
43,65515
44,65516
45,65517
46,65518
47,65519
48,65520
49,65521
50,65522
51,65523
52,65524
53,65525
54,65526
55,65527
56,65528
57,65529
58,65530
59,65531
60,65532
61,65533
62,65534
63,65535
64,65536
